Item_Code_CPC_num,Item_Code_CPC_text,Item,Category_Code,Food_Product_Categories
1359.01,'01359.01,Persimmons,25,Other Fruit
21521,'21521,"Pig fat, rendered",30,Pig Meat
1707,'01707,"Pigeon peas, dry",26,Other Pulses
1318,'01318,Pineapples,25,Other Fruit
1375,'01375,"Pistachios, in shell",21,Nuts
1313,'01313,Plantains and cooking bananas,2,Bananas
1346,'01346,Plums and sloes,25,Other Fruit
1321,'01321,Pomelos and grapefruits,12,Citrus Fruit
1448,'01448,Poppy seed,26,Other Pulses
1510,'01510,Potatoes,31,Potatoes
1235,'01235,"Pumpkins, squash and gourds",25,Other Fruit
1342.02,'01342.02,Quinces,25,Other Fruit
1194,'01194,Quinoa,26,Other Pulses
1443,'01443,Rape or colza seed,33,Rapeseed Oil
21641.01,'21641.01,"Rapeseed or canola oil, crude",33,Rapeseed Oil
1353.01,'01353.01,Raspberries,7,Berries & Grapes
2212,'02212,Raw milk of buffalo,20,Milk
2293,'02293,Raw milk of camel,20,Milk
2211,'02211,Raw milk of cattle,20,Milk
2292,'02292,Raw milk of goats,20,Milk
2291,'02291,Raw milk of sheep,20,Milk
113,'0113,Rice,34,Rice
116,'0116,Rye,42,Wheat & Rye (Bread)
1446,'01446,Safflower seed,26,Other Pulses
21631.02,'21631.02,"Safflower-seed oil, crude",26,Other Pulses
1444,'01444,Sesame seed,26,Other Pulses
21514,'21514,"Sheep fat, unrendered",18,Lamb & Mutton
22212,'22212,Skim milk and whey powder,20,Milk
22110.02,'22110.02,Skim milk of cows,20,Milk
22222.02,'22222.02,"Skim milk, condensed",20,Milk
22221.02,'22221.02,"Skim milk, evaporated",20,Milk
114,'0114,Sorghum,26,Other Pulses
1344.01,'01344.01,Sour cherries,7,Berries & Grapes
2161,'2161,Soya bean oil,37,Soybean Oil
141,'0141,Soya beans,40,Tofu
1215,'01215,Spinach,8,Brassicas
1354,'01354,Strawberries,7,Berries & Grapes
1241.01,'01241.01,String beans,27,Other Vegetables
1801,'01801,Sugar beet,6,Beet Sugar
1802,'01802,Sugar cane,9,Cane Sugar
1445,'01445,Sunflower seed,39,Sunflower Oil
21631.01,'21631.01,"Sunflower-seed oil, crude",39,Sunflower Oil
1530,'01530,Sweet potatoes,35,Root Vegetables
1324,'01324,"Tangerines, mandarins, clementines",12,Citrus Fruit
1550,'01550,Taro,35,Root Vegetables
1620,'01620,Tea leaves,27,Other Vegetables
1234,'01234,Tomatoes,41,Tomatoes
1191,'01191,Triticale,26,Other Pulses
1499.02,'01499.02,Tung nuts,21,Nuts
1658,'01658,"Vanilla, raw",26,Other Pulses
1709.01,'01709.01,Vetches,26,Other Pulses
1376,'01376,"Walnuts, in shell",21,Nuts
1221,'01221,Watermelons,25,Other Fruit
111,'0111,Wheat,42,Wheat & Rye (Bread)
22130.03,'22130.03,"Whey, condensed",20,Milk
22130.02,'22130.02,"Whey, dry",20,Milk
22211,'22211,Whole milk powder,20,Milk
22222.01,'22222.01,"Whole milk, condensed",20,Milk
22221.01,'22221.01,"Whole milk, evaporated",20,Milk
24212.02,'24212.02,Wine,43,Wine
1540,'01540,Yams,35,Root Vegetables
1591,'01591,Yautia,35,Root Vegetables
22230.01,'22230.01,Yoghurt,20,Milk
